lang,sample_count,evaluable_count_v1,evaluable_count_v2,exact_accuracy_v1,exact_accuracy_v2,exact_delta_v2_minus_v1,relaxed_accuracy_v1,relaxed_accuracy_v2,relaxed_delta_v2_minus_v1
af,4,1,1,1.0,1.0,0.0,1.0,1.0,0.0
ar,10,2,2,0.5,1.0,0.5,0.5,1.0,0.5
bg,9,6,6,1.0,1.0,0.0,1.0,1.0,0.0
bn,2,0,0,,,,,,
ca,5,1,1,1.0,1.0,0.0,1.0,1.0,0.0
cy,2,0,0,,,,,,
da,5,1,1,0.0,1.0,1.0,0.0,1.0,1.0
de,19,14,14,1.0,1.0,0.0,1.0,1.0,0.0
el,5,3,3,0.6667,1.0,0.3333,0.6667,1.0,0.3333
en,572,58,58,0.8966,0.931,0.0344,0.8966,0.931,0.0344
es,67,26,26,1.0,1.0,0.0,1.0,1.0,0.0
et,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0
fa,19,0,0,,,,,,
fi,2,0,0,,,,,,
fr,50,5,5,1.0,1.0,0.0,1.0,1.0,0.0
hi,6,4,4,1.0,1.0,0.0,1.0,1.0,0.0
hr,14,8,8,1.0,1.0,0.0,1.0,1.0,0.0
hu,1,0,0,,,,,,
id,9,6,6,0.8333,1.0,0.1667,0.8333,1.0,0.1667
it,4,1,1,1.0,1.0,0.0,1.0,1.0,0.0
ja,3,1,1,0.0,1.0,1.0,0.0,1.0,1.0
ko,62,2,2,0.0,0.0,0.0,0.0,0.0,0.0
lt,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0
mk,8,5,5,1.0,0.8,-0.2,1.0,0.8,-0.2
mr,1,0,0,,,,,,
ne,1,1,1,1.0,1.0,0.0,1.0,1.0,0.0
nl,4,1,1,1.0,1.0,0.0,1.0,1.0,0.0
no,3,0,0,,,,,,
pl,11,7,7,1.0,1.0,0.0,1.0,1.0,0.0
pt,19,8,8,1.0,1.0,0.0,1.0,1.0,0.0
ro,7,5,5,1.0,1.0,0.0,1.0,1.0,0.0
ru,33,21,21,0.9524,0.9524,0.0,0.9524,0.9524,0.0
sl,3,2,2,1.0,1.0,0.0,1.0,1.0,0.0
so,6,0,0,,,,,,
sq,6,5,5,1.0,1.0,0.0,1.0,1.0,0.0
sv,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0
sw,28,16,16,1.0,1.0,0.0,1.0,1.0,0.0
ta,1,0,0,,,,,,
te,1,0,0,,,,,,
tl,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0
tr,22,10,10,1.0,1.0,0.0,1.0,1.0,0.0
uk,30,18,18,1.0,1.0,0.0,1.0,1.0,0.0
unknown,1,0,0,,,,,,
ur,16,2,2,0.5,0.5,0.0,0.5,0.5,0.0
vi,7,0,0,,,,,,
zh-cn,111,19,19,0.7895,0.9474,0.1579,0.7895,0.9474,0.1579
zh-tw,3,0,0,,,,,,
