lang,sample_count,evaluable_count_v1,evaluable_count_v2,exact_accuracy_v1,exact_accuracy_v2,exact_delta_v2_minus_v1,relaxed_accuracy_v1,relaxed_accuracy_v2,relaxed_delta_v2_minus_v1,range_hit_accuracy_v1,range_hit_accuracy_v2,range_hit_delta_v2_minus_v1,interval_range_hit_accuracy_v1,interval_range_hit_accuracy_v2,interval_range_hit_delta_v2_minus_v1
af,4,1,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
ar,10,2,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
bg,9,6,6,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
bn,2,0,0,,,,,,,,,,,,
ca,6,2,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
cy,2,0,0,,,,,,,,,,,,
da,4,1,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
de,19,12,12,0.9167,1.0,0.0833,0.9167,1.0,0.0833,0.9167,1.0,0.0833,0.9167,1.0,0.0833
el,6,3,3,0.6667,1.0,0.3333,0.6667,1.0,0.3333,0.6667,1.0,0.3333,0.6667,1.0,0.3333
en,554,58,58,0.8621,0.9483,0.0862,0.8793,0.9483,0.069,0.8621,0.9483,0.0862,0.8889,0.9444,0.0555
es,66,23,23,0.8696,1.0,0.1304,0.8696,1.0,0.1304,0.8696,1.0,0.1304,0.8696,1.0,0.1304
et,3,1,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
fa,19,0,0,,,,,,,,,,,,
fi,3,1,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
fr,49,5,5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
hi,6,4,4,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
hr,16,10,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
hu,1,0,0,,,,,,,,,,,,
id,10,5,5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
it,5,1,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
ja,4,0,0,,,,,,,,,,,,
ko,62,0,0,,,,,,,,,,,,
lt,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
mk,9,5,5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
mr,1,0,0,,,,,,,,,,,,
ne,1,1,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
nl,4,1,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
no,4,1,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
pl,11,7,7,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
pt,19,8,8,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
ro,8,4,4,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
ru,33,21,21,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
sl,4,2,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
so,7,1,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
sq,7,4,4,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
sv,3,1,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
sw,29,16,16,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
ta,1,0,0,,,,,,,,,,,,
te,1,0,0,,,,,,,,,,,,
tl,3,1,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
tr,22,10,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
uk,31,16,16,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
unknown,1,0,0,,,,,,,,,,,,
ur,17,2,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
vi,8,1,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
zh-cn,110,15,15,0.8,1.0,0.2,0.8,1.0,0.2,0.8,1.0,0.2,0.8889,1.0,0.1111
zh-tw,4,0,0,,,,,,,,,,,,
