id,lang,title,standard_timestamp,event_timestamp_v1,event_timestamp_v2,event_time_start_v1,event_time_end_v1,event_time_start_v2,event_time_end_v2,time_granularity_v1,time_granularity_v2,pseudo_time,pseudo_range_start,pseudo_range_end,pseudo_granularity,pseudo_source_text,is_evaluable_v1,is_evaluable_v2,is_exact_v1,is_exact_v2,is_relaxed_v1,is_relaxed_v2,is_range_hit_v1,is_range_hit_v2,is_anchor_in_gold_range_v1,is_anchor_in_gold_range_v2,is_interval_gold,exact_compare,relaxed_compare,range_compare
gdelt_00275553,en,Nick Reiner high - profile lawyer quits as public defenders take over ; arraignment postponed,2026-01-08 05:30:00,2026-01-08 05:30:00,2026-01-08 00:00:00,2026-01-08 00:00:00,2026-01-08 00:00:00,2026-01-08 00:00:00,2026-01-08 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_003683cb,en,Iran war live : Tehran warns of intensified strikes if energy sites targeted | US - Israel war on Iran News,2026-03-20 11:30:00,2026-03-20 11:30:00,2026-03-20 00:00:00,2026-03-20 00:00:00,2026-03-20 00:00:00,2026-03-20 00:00:00,2026-03-20 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_00a3e193,en,Man guilty of murdering Stafford woman found dead at home,2025-07-02 21:45:00,2025-07-02 21:45:00,2025-07-02 00:00:00,2025-07-02 00:00:00,2025-07-02 00:00:00,2025-07-02 00:00:00,2025-07-02 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_00c16995,en,Australia fuel crisis : Panic buying prompts PM to reassure nation over fuel supply,2026-03-27 15:00:00,2026-03-27 15:00:00,2026-03-27 00:00:00,2026-03-27 00:00:00,2026-03-27 00:00:00,2026-03-27 00:00:00,2026-03-27 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_00d6341d,ur,ہفتے میں تین چھٹیاں صحت کے لیے فائدہ مند ، پھر دنیا چار دن کا ورک ویک کیوں نہیں اپنا رہی ؟ ,2025-08-18 21:45:00,2025-08-18 21:45:00,2025-08-18 00:00:00,2025-08-18 00:00:00,2025-08-18 00:00:00,2025-08-18 00:00:00,2025-08-18 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_00d83b1c,ar,العملة السورية الجديدة .. كيف ينعكس استبدال العملة على جيبة المواطن ؟ ,2025-12-30 02:00:00,2025-12-30 02:00:00,2025-12-30 00:00:00,2025-12-30 00:00:00,2025-12-30 00:00:00,2025-12-30 00:00:00,2025-12-30 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_01323c41,en,Lord advocate Dorothy Bain again defends her actions over Murrell memos,2026-02-26 09:45:00,2026-02-26 09:45:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_013d8925,tr,Özdemirin zaferi : Almanyadaki Türk ve Kürtlerden ilk tepki,2026-03-09 19:00:00,2026-03-09 19:00:00,2026-03-06 00:00:00,2026-03-09 00:00:00,2026-03-09 00:00:00,2026-03-06 00:00:00,2026-03-06 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_014ce566,en,"Two leagues , five rings : How Mathieu and J . P . Darche forged their unusual NFL - NHL success",2026-01-11 20:00:00,2026-01-11 20:00:00,2026-01-11 00:00:00,2026-01-11 00:00:00,2026-01-11 00:00:00,2026-01-11 00:00:00,2026-01-11 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_01ff0739,hr,Gde je sada iranski uranijum ? – DW – 25 . 6 . 2025 . ,2025-07-03 09:15:00,2025-07-03 09:15:00,2025-06-25 00:00:00,2025-07-03 00:00:00,2025-07-03 00:00:00,2025-06-25 00:00:00,2025-06-25 00:00:00,,day,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-12-31 00:00:00,year,2025,1,1,1,1,1,1,1,1,1,1,1,tie,tie,tie
